region,postcode_sector,year,avg_price,volume
East Midlands,DE55 1,2023,159000,132
East Midlands,DE55 2,2023,102000,142
East Midlands,DE55 3,2023,122000,72
East Midlands,DE55 4,2023,102000,118
East Midlands,DE55 5,2023,124000,110
East Midlands,DE55 6,2023,140000,89
East Midlands,DE55 7,2023,124000,118
East Midlands,DE56 0,2023,153000,198
East Midlands,DE56 1,2023,146000,276
East Midlands,DE56 2,2023,204000,120
East Midlands,DE56 4,2023,273000,77
East Midlands,DE6 1,2023,215000,170
East Midlands,DE6 2,2023,266000,66
East Midlands,DE6 3,2023,346000,52
East Midlands,DE6 4,2023,287000,18
East Midlands,DE6 5,2023,278000,40
East Midlands,DE65 5,2023,163000,302
East Midlands,DE65 6,2023,236000,131
East Midlands,DE7 4,2023,125000,177
East Midlands,DE7 5,2023,96000,177
East Midlands,DE7 6,2023,169000,165
East Midlands,DE7 8,2023,92000,210
East Midlands,DE7 9,2023,110000,67
East Midlands,DE72 2,2023,212000,65
East Midlands,DE72 3,2023,188000,236
East Midlands,DE73 1,2023,450000,1
East Midlands,DE73 5,2023,185000,72
East Midlands,DE73 6,2023,170000,112
East Midlands,DE73 7,2023,355000,24
East Midlands,DE73 8,2023,210000,109
East Midlands,DE74 0,2023,338000,3
East Midlands,DE74 2,2023,192000,205
East Midlands,DE75 7,2023,117000,268
East Midlands,DN1 1,2023,76000,11
East Midlands,DN1 2,2023,72000,90
East Midlands,DN1 3,2023,73000,9
East Midlands,DN10 4,2023,166000,92
East Midlands,DN10 5,2023,198000,19
East Midlands,DN10 6,2023,174000,82
East Midlands,DN11 0,2023,110000,192
East Midlands,DN11 8,2023,125000,130
East Midlands,DN11 9,2023,175000,95
East Midlands,DN12 1,2023,76000,121
East Midlands,DN12 2,2023,94000,76
East Midlands,DN12 3,2023,89000,81
East Midlands,DN12 4,2023,127000,30
East Midlands,DN14 0,2023,167000,104
East Midlands,DN14 5,2023,103000,115
East Midlands,DN14 6,2023,100000,233
East Midlands,DN14 7,2023,198000,132
East Midlands,DN14 8,2023,153000,66
East Midlands,DN14 9,2023,183000,103
East Midlands,DN15 0,2023,173000,17
East Midlands,DN15 5,2023,80000,1
East Midlands,DN15 6,2023,66000,54
East Midlands,DN15 7,2023,82000,117
East Midlands,DN15 8,2023,97000,166
East Midlands,DN15 9,2023,130000,132
East Midlands,DN16 1,2023,72000,86
East Midlands,DN16 2,2023,88000,93
East Midlands,DN16 3,2023,112000,220
East Midlands,DN17 1,2023,106000,121
East Midlands,DN17 2,2023,105000,148
East Midlands,DN17 3,2023,123000,113
East Midlands,DN17 4,2023,137000,80
East Midlands,DN18 5,2023,125000,158
East Midlands,DN18 6,2023,122000,37
East Midlands,DN19 7,2023,132000,100
East Midlands,DN2 4,2023,103000,110
