region,month,volume
East England,1,1233
East England,2,1299
East England,3,1363
East England,4,600
East England,5,674
East England,6,1127
East England,7,1292
East England,8,1308
East England,9,1453
East England,10,1801
East England,11,1768
East England,12,1993
East Midlands,1,6437
East Midlands,2,6386
East Midlands,3,6769
East Midlands,4,2903
East Midlands,5,3554
East Midlands,6,5353
East Midlands,7,6291
East Midlands,8,6533
East Midlands,9,7397
East Midlands,10,9239
East Midlands,11,9057
East Midlands,12,10215
East of England,1,6428
East of England,2,6550
East of England,3,6820
East of England,4,2893
East of England,5,3570
East of England,6,5446
East of England,7,6475
East of England,8,6721
East of England,9,7773
East of England,10,9616
East of England,11,9621
East of England,12,10720
Greater London,1,9922
Greater London,2,10834
Greater London,3,10746
Greater London,4,4549
Greater London,5,5807
Greater London,6,8786
Greater London,7,10683
Greater London,8,10633
Greater London,9,12021
Greater London,10,15492
Greater London,11,15780
Greater London,12,17397
North East,1,6249
North East,2,6164
North East,3,6647
North East,4,2792
North East,5,3454
North East,6,5191
North East,7,6137
North East,8,6477
North East,9,7627
North East,10,9019
North East,11,8762
North East,12,10002
North West,1,9945
North West,2,9822
North West,3,10586
North West,4,4469
North West,5,5560
North West,6,8292
North West,7,10231
North West,8,10316
North West,9,11737
North West,10,14205
North West,11,13973
North West,12,16072
South East,1,10438
South East,2,10717
South East,3,10827
South East,4,4563
South East,5,5682
South East,6,8752
South East,7,10279
South East,8,10887
South East,9,12340
South East,10,15348
South East,11,15351
South East,12,17302
South West,1,7825
South West,2,7864
South West,3,8075
South West,4,3433
South West,5,4197
South West,6,6468
South West,7,7742
South West,8,8159
South West,9,9217
South West,10,11156
South West,11,11400
South West,12,12771
Wales,1,3479
Wales,2,3428
Wales,3,3775
Wales,4,1581
Wales,5,1903
Wales,6,2882
Wales,7,3439
Wales,8,3436
Wales,9,4097
Wales,10,4912
Wales,11,5003
Wales,12,5682
West Midlands,1,6873
West Midlands,2,6847
West Midlands,3,7411
West Midlands,4,3141
West Midlands,5,3733
West Midlands,6,5573
West Midlands,7,6781
West Midlands,8,6896
West Midlands,9,8003
West Midlands,10,9810
West Midlands,11,9607
West Midlands,12,10857
