region,month,volume
East England,1,986
East England,2,1037
East England,3,1717
East England,4,470
East England,5,704
East England,6,763
East England,7,743
East England,8,329
East Midlands,1,4794
East Midlands,2,5368
East Midlands,3,8591
East Midlands,4,2153
East Midlands,5,3501
East Midlands,6,3752
East Midlands,7,4004
East Midlands,8,1752
East of England,1,5023
East of England,2,5470
East of England,3,8809
East of England,4,2344
East of England,5,3511
East of England,6,3776
East of England,7,4092
East of England,8,1735
Greater London,1,8179
Greater London,2,8689
Greater London,3,14098
Greater London,4,3828
Greater London,5,5774
Greater London,6,6078
Greater London,7,6739
Greater London,8,2825
North East,1,4768
North East,2,5134
North East,3,8261
North East,4,2244
North East,5,3471
North East,6,3716
North East,7,3873
North East,8,1672
North West,1,7517
North West,2,8209
North West,3,13437
North West,4,3505
North West,5,5456
North West,6,5788
North West,7,6208
North West,8,2647
South East,1,8028
South East,2,8733
South East,3,13986
South East,4,3643
South East,5,5862
South East,6,6072
South East,7,6659
South East,8,2724
South West,1,5873
South West,2,6513
South West,3,10449
South West,4,2659
South West,5,4205
South West,6,4401
South West,7,4946
South West,8,2092
Wales,1,2616
Wales,2,2813
Wales,3,4641
Wales,4,1169
Wales,5,1942
Wales,6,2077
Wales,7,2143
Wales,8,932
West Midlands,1,5286
West Midlands,2,5562
West Midlands,3,9238
West Midlands,4,2533
West Midlands,5,3668
West Midlands,6,4009
West Midlands,7,4241
West Midlands,8,1825
