region,postcode_sector,year,avg_price,volume,delta
East England,PE1 1,2020,158000,21,0
East England,PE1 2,2020,113000,113,0
East England,PE1 3,2020,129000,169,0
East England,PE1 4,2020,145000,177,0
East England,PE1 5,2020,111000,137,0
East England,PE10 0,2020,188000,247,0
East England,PE10 2,2020,290000,18,0
East England,PE10 9,2020,170000,238,0
East England,PE11 1,2020,153000,180,0
East England,PE11 2,2020,129000,209,0
East England,PE11 3,2020,155000,265,0
East England,PE11 4,2020,160000,138,0
East England,PE11 5,2020,321000,3,0
East England,PE12 0,2020,166000,105,0
East England,PE12 6,2020,187000,158,0
East England,PE12 7,2020,126000,175,0
East England,PE12 8,2020,169000,77,0
East England,PE12 9,2020,136000,200,0
East England,PE13 1,2020,128000,45,0
East England,PE13 2,2020,135000,148,0
East England,PE13 3,2020,119000,150,0
East England,PE13 4,2020,185000,104,0
East England,PE13 5,2020,180000,92,0
East England,PE14 0,2020,183000,81,0
East England,PE14 7,2020,182000,111,0
East England,PE14 8,2020,163000,78,0
East England,PE14 9,2020,161000,80,0
East England,PE15 0,2020,195000,181,0
East England,PE15 8,2020,139000,232,0
East England,PE15 9,2020,157000,179,0
East England,PE16 6,2020,142000,239,0
East England,PE19 0,2020,393000,25,0
East England,PE19 1,2020,186000,138,0
East England,PE19 2,2020,179000,208,0
East England,PE19 5,2020,255000,109,0
East England,PE19 6,2020,254000,161,0
East England,PE19 7,2020,234000,97,0
East England,PE19 8,2020,183000,137,0
East England,PE2 5,2020,127000,243,0
East England,PE2 6,2020,193000,83,0
East England,PE2 7,2020,202000,70,0
East England,PE2 8,2020,156000,329,0
East England,PE2 9,2020,138000,211,0
East England,PE20 1,2020,173000,110,0
East England,PE20 2,2020,160000,57,0
East England,PE20 3,2020,172000,83,0
East England,PE21 0,2020,125000,174,0
East England,PE21 6,2020,88000,48,0
East England,PE21 7,2020,148000,141,0
East England,PE21 8,2020,96000,181,0
East England,PE21 9,2020,133000,160,0
East England,PE22 0,2020,151000,97,0
East England,PE22 7,2020,160000,46,0
East England,PE22 8,2020,177000,57,0
East England,PE22 9,2020,176000,41,0
East England,PE23 4,2020,197000,48,0
East England,PE23 5,2020,159000,98,0
East England,PE24 4,2020,121000,49,0
East England,PE24 5,2020,138000,157,0
East England,PE25 1,2020,129000,123,0
East England,PE25 2,2020,117000,129,0
East England,PE25 3,2020,131000,105,0
East England,PE26 1,2020,168000,113,0
East England,PE26 2,2020,206000,113,0
East England,PE27 3,2020,168000,148,0
East England,PE27 4,2020,214000,36,0
East England,PE27 5,2020,192000,117,0
East England,PE27 6,2020,231000,81,0
East England,PE28 0,2020,309000,104,0
East England,PE28 2,2020,260000,130,0
East England,PE28 3,2020,217000,171,0
East England,PE28 4,2020,277000,185,0
East England,PE28 5,2020,207000,137,0
East England,PE28 9,2020,292000,106,0
East England,PE29 1,2020,179000,169,0
East England,PE29 2,2020,240000,137,0
East England,PE29 3,2020,160000,79,0
East England,PE29 6,2020,196000,139,0
East England,PE29 7,2020,105000,51,0
East England,PE3 6,2020,227000,117,0
East England,PE3 7,2020,91000,51,0
East England,PE3 8,2020,100000,89,0
East England,PE3 9,2020,156000,144,0
East England,PE30 1,2020,107000,50,0
East England,PE30 2,2020,91000,105,0
East England,PE30 3,2020,167000,237,0
East England,PE30 4,2020,128000,182,0
East England,PE30 5,2020,115000,131,0
East England,PE31 6,2020,191000,136,0
East England,PE31 7,2020,203000,164,0
East England,PE31 8,2020,358000,116,0
East England,PE32 1,2020,205000,128,0
East England,PE32 2,2020,235000,100,0
East England,PE33 0,2020,175000,134,0
East England,PE33 9,2020,186000,96,0
East England,PE34 3,2020,189000,76,0
East England,PE34 4,2020,187000,125,0
East England,PE36 5,2020,198000,97,0
East England,PE36 6,2020,273000,86,0
East England,PE37 7,2020,143000,116,0
East England,PE37 8,2020,211000,106,0
East England,PE38 0,2020,202000,80,0
East England,PE38 9,2020,166000,225,0
East England,PE4 5,2020,125000,103,0
East England,PE4 6,2020,153000,175,0
East England,PE4 7,2020,136000,198,0
East England,PE5 7,2020,331000,17,0
East England,PE6 0,2020,196000,124,0
East England,PE6 7,2020,203000,170,0
East England,PE6 8,2020,173000,262,0
East England,PE6 9,2020,212000,109,0
East England,PE7 0,2020,186000,20,0
East England,PE7 1,2020,162000,237,0
East England,PE7 2,2020,188000,76,0
East England,PE7 3,2020,173000,287,0
East England,PE7 4,2020,375000,3,0
East England,PE7 8,2020,213000,294,0
East England,PE8 4,2020,241000,108,0
East England,PE8 5,2020,333000,35,0
East England,PE8 6,2020,234000,131,0
East England,PE9 1,2020,170000,169,0
East England,PE9 2,2020,251000,215,0
East England,PE9 3,2020,389000,103,0
East England,PE9 4,2020,230000,103,0
East Midlands,DE1 1,2020,123000,72,0
East Midlands,DE1 2,2020,146000,57,0
East Midlands,DE1 3,2020,130000,113,0
East Midlands,DE11 0,2020,132000,198,0
East Midlands,DE11 7,2020,148000,177,0
East Midlands,DE11 8,2020,157000,139,0
East Midlands,DE11 9,2020,131000,287,0
East Midlands,DE12 6,2020,154000,134,0
East Midlands,DE12 7,2020,172000,180,0
East Midlands,DE12 8,2020,227000,46,0
East Midlands,DE13 0,2020,154000,291,0
East Midlands,DE13 7,2020,313000,77,0
East Midlands,DE13 8,2020,271000,113,0
East Midlands,DE13 9,2020,223000,194,0
East Midlands,DE14 1,2020,127000,67,0
East Midlands,DE14 2,2020,113000,222,0
East Midlands,DE14 3,2020,126000,278,0
East Midlands,DE15 0,2020,165000,114,0
East Midlands,DE15 9,2020,150000,228,0
East Midlands,DE21 2,2020,147000,233,0
East Midlands,DE21 4,2020,124000,199,0
East Midlands,DE21 5,2020,215000,49,0
East Midlands,DE21 6,2020,118000,191,0
East Midlands,DE21 7,2020,141000,181,0
East Midlands,DE22 1,2020,205000,128,0
East Midlands,DE22 2,2020,211000,250,0
East Midlands,DE22 3,2020,104000,268,0
East Midlands,DE22 4,2020,153000,123,0
East Midlands,DE22 5,2020,513000,12,0
East Midlands,DE23 1,2020,129000,137,0
East Midlands,DE23 2,2020,143000,31,0
East Midlands,DE23 3,2020,215000,136,0
East Midlands,DE23 4,2020,217000,44,0
East Midlands,DE23 6,2020,134000,219,0
East Midlands,DE23 8,2020,74000,189,0
East Midlands,DE24 0,2020,109000,224,0
East Midlands,DE24 1,2020,131000,27,0
East Midlands,DE24 3,2020,134000,129,0
East Midlands,DE24 5,2020,182000,57,0
East Midlands,DE24 8,2020,90000,216,0
East Midlands,DE24 9,2020,112000,143,0
East Midlands,DE3 0,2020,216000,171,0
East Midlands,DE3 9,2020,207000,137,0
East Midlands,DE4 2,2020,255000,126,0
East Midlands,DE4 3,2020,184000,203,0
East Midlands,DE4 4,2020,199000,101,0
East Midlands,DE4 5,2020,266000,93,0
East Midlands,DE45 1,2020,280000,142,0
East Midlands,DE5 3,2020,137000,237,0
East Midlands,DE5 8,2020,146000,86,0
East Midlands,DE5 9,2020,134000,79,0
East Midlands,DE55 1,2020,146000,126,0
East Midlands,DE55 2,2020,124000,133,0
East Midlands,DE55 3,2020,137000,84,0
East Midlands,DE55 4,2020,97000,122,0
East Midlands,DE55 5,2020,118000,129,0
East Midlands,DE55 6,2020,164000,95,0
East Midlands,DE55 7,2020,144000,152,0
East Midlands,DE56 0,2020,161000,222,0
East Midlands,DE56 1,2020,154000,295,0
East Midlands,DE56 2,2020,227000,153,0
East Midlands,DE56 4,2020,299000,95,0
East Midlands,DE6 1,2020,239000,168,0
East Midlands,DE6 2,2020,312000,63,0
East Midlands,DE6 3,2020,304000,63,0
East Midlands,DE6 4,2020,347000,21,0
East Midlands,DE6 5,2020,286000,44,0
East Midlands,DE65 5,2020,160000,275,0
East Midlands,DE65 6,2020,246000,168,0
East Midlands,DE7 4,2020,141000,207,0
East Midlands,DE7 5,2020,110000,158,0
East Midlands,DE7 6,2020,189000,152,0
East Midlands,DE7 8,2020,101000,194,0
East Midlands,DE7 9,2020,108000,81,0
East Midlands,DE72 2,2020,220000,80,0
East Midlands,DE72 3,2020,196000,239,0
East Midlands,DE73 1,2020,328000,2,0
East Midlands,DE73 5,2020,201000,110,0
East Midlands,DE73 6,2020,161000,122,0
East Midlands,DE73 7,2020,404000,27,0
East Midlands,DE73 8,2020,230000,95,0
East Midlands,DE74 0,2020,368000,1,0
East Midlands,DE74 2,2020,209000,244,0
East Midlands,DE75 7,2020,125000,311,0
East Midlands,DN1 1,2020,70000,10,0
East Midlands,DN1 2,2020,92000,100,0
East Midlands,DN1 3,2020,99000,11,0
East Midlands,DN10 4,2020,208000,82,0
East Midlands,DN10 5,2020,282000,26,0
East Midlands,DN10 6,2020,174000,80,0
East Midlands,DN11 0,2020,111000,224,0
East Midlands,DN11 8,2020,129000,143,0
East Midlands,DN11 9,2020,202000,108,0
East Midlands,DN12 1,2020,73000,126,0
East Midlands,DN12 2,2020,97000,67,0
East Midlands,DN12 3,2020,109000,78,0
East Midlands,DN12 4,2020,108000,26,0
East Midlands,DN14 0,2020,157000,121,0
East Midlands,DN14 5,2020,108000,120,0
East Midlands,DN14 6,2020,110000,215,0
East Midlands,DN14 7,2020,199000,143,0
East Midlands,DN14 8,2020,143000,78,0
East Midlands,DN14 9,2020,169000,106,0
East Midlands,DN15 0,2020,252000,16,0
East Midlands,DN15 6,2020,65000,67,0
East Midlands,DN15 7,2020,80000,98,0
East Midlands,DN15 8,2020,100000,166,0
East Midlands,DN15 9,2020,129000,131,0
East Midlands,DN16 1,2020,77000,105,0
East Midlands,DN16 2,2020,94000,95,0
East Midlands,DN16 3,2020,125000,245,0
East Midlands,DN17 1,2020,106000,126,0
East Midlands,DN17 2,2020,107000,147,0
East Midlands,DN17 3,2020,126000,106,0
East Midlands,DN17 4,2020,151000,90,0
East Midlands,DN18 5,2020,126000,196,0
East Midlands,DN18 6,2020,122000,43,0
East Midlands,DN19 7,2020,137000,119,0
East Midlands,DN2 4,2020,107000,119,0
East Midlands,DN2 5,2020,134000,126,0
East Midlands,DN2 6,2020,105000,86,0
East Midlands,DN20 0,2020,125000,98,0
East Midlands,DN20 8,2020,131000,95,0
East Midlands,DN20 9,2020,156000,108,0
East Midlands,DN21 1,2020,95000,223,0
East Midlands,DN21 2,2020,73000,143,0
East Midlands,DN21 3,2020,150000,138,0
East Midlands,DN21 4,2020,160000,70,0
East Midlands,DN21 5,2020,161000,94,0
East Midlands,DN22 0,2020,185000,64,0
East Midlands,DN22 5,2020,188000,1,0
East Midlands,DN22 6,2020,134000,111,0
East Midlands,DN22 7,2020,143000,279,0
East Midlands,DN22 8,2020,199000,72,0
East Midlands,DN22 9,2020,217000,49,0
