region,postcode_sector,year,avg_price,volume,delta
East Midlands,DN3 1,2020,125000,130,0
East Midlands,DN3 2,2020,125000,188,0
East Midlands,DN3 3,2020,129000,154,0
East Midlands,DN31 1,2020,52000,41,0
East Midlands,DN31 2,2020,59000,124,0
East Midlands,DN31 3,2020,27000,3,0
East Midlands,DN32 0,2020,103000,98,0
East Midlands,DN32 7,2020,43000,87,0
East Midlands,DN32 8,2020,88000,113,0
East Midlands,DN32 9,2020,68000,146,0
East Midlands,DN33 1,2020,68000,41,0
East Midlands,DN33 2,2020,138000,79,0
East Midlands,DN33 3,2020,131000,145,0
East Midlands,DN34 4,2020,87000,160,0
East Midlands,DN34 5,2020,91000,154,0
East Midlands,DN35 0,2020,157000,168,0
East Midlands,DN35 7,2020,70000,210,0
East Midlands,DN35 8,2020,94000,142,0
East Midlands,DN35 9,2020,114000,85,0
East Midlands,DN36 4,2020,163000,220,0
East Midlands,DN36 5,2020,179000,154,0
East Midlands,DN37 0,2020,162000,110,0
East Midlands,DN37 7,2020,151000,48,0
East Midlands,DN37 8,2020,392000,3,0
East Midlands,DN37 9,2020,112000,124,0
East Midlands,DN38 6,2020,157000,33,0
East Midlands,DN39 6,2020,173000,43,0
East Midlands,DN4 0,2020,71000,170,0
East Midlands,DN4 5,2020,138000,113,0
East Midlands,DN4 6,2020,153000,177,0
East Midlands,DN4 7,2020,164000,131,0
East Midlands,DN4 8,2020,116000,162,0
East Midlands,DN4 9,2020,103000,134,0
East Midlands,DN40 1,2020,82000,56,0
East Midlands,DN40 2,2020,95000,75,0
East Midlands,DN40 3,2020,129000,42,0
East Midlands,DN41 7,2020,199000,49,0
East Midlands,DN41 8,2020,139000,46,0
East Midlands,DN5 0,2020,88000,132,0
East Midlands,DN5 7,2020,193000,126,0
East Midlands,DN5 8,2020,113000,148,0
East Midlands,DN5 9,2020,89000,179,0
East Midlands,DN6 0,2020,107000,88,0
East Midlands,DN6 7,2020,99000,134,0
East Midlands,DN6 8,2020,103000,91,0
East Midlands,DN6 9,2020,149000,63,0
East Midlands,DN7 4,2020,100000,106,0
East Midlands,DN7 5,2020,108000,77,0
East Midlands,DN7 6,2020,131000,114,0
East Midlands,DN8 4,2020,103000,111,0
East Midlands,DN8 5,2020,104000,111,0
East Midlands,DN9 1,2020,168000,139,0
East Midlands,DN9 2,2020,197000,71,0
East Midlands,DN9 3,2020,173000,137,0
East Midlands,LE1 1,2020,130000,43,0
East Midlands,LE1 2,2020,80000,6,0
East Midlands,LE1 3,2020,99000,25,0
East Midlands,LE1 4,2020,126000,4,0
East Midlands,LE1 5,2020,115000,11,0
East Midlands,LE1 6,2020,135000,39,0
East Midlands,LE1 7,2020,210000,12,0
East Midlands,LE10 0,2020,144000,392,0
East Midlands,LE10 1,2020,164000,246,0
East Midlands,LE10 2,2020,201000,289,0
East Midlands,LE10 3,2020,293000,40,0
East Midlands,LE11 1,2020,123000,136,0
East Midlands,LE11 2,2020,186000,240,0
East Midlands,LE11 3,2020,223000,130,0
East Midlands,LE11 4,2020,135000,125,0
East Midlands,LE11 5,2020,136000,150,0
East Midlands,LE12 5,2020,217000,122,0
East Midlands,LE12 6,2020,241000,169,0
East Midlands,LE12 7,2020,172000,365,0
East Midlands,LE12 8,2020,252000,279,0
East Midlands,LE12 9,2020,160000,260,0
East Midlands,LE13 0,2020,158000,254,0
East Midlands,LE13 1,2020,164000,226,0
East Midlands,LE14 2,2020,304000,67,0
East Midlands,LE14 3,2020,237000,109,0
East Midlands,LE14 4,2020,265000,79,0
East Midlands,LE15 6,2020,190000,212,0
East Midlands,LE15 7,2020,273000,130,0
East Midlands,LE15 8,2020,387000,83,0
East Midlands,LE15 9,2020,266000,123,0
East Midlands,LE16 7,2020,257000,251,0
East Midlands,LE16 8,2020,270000,189,0
East Midlands,LE16 9,2020,211000,267,0
East Midlands,LE17 4,2020,238000,179,0
East Midlands,LE17 5,2020,284000,114,0
East Midlands,LE17 6,2020,328000,68,0
East Midlands,LE18 1,2020,159000,97,0
East Midlands,LE18 2,2020,135000,119,0
East Midlands,LE18 3,2020,197000,164,0
East Midlands,LE18 4,2020,137000,145,0
East Midlands,LE19 2,2020,172000,103,0
East Midlands,LE19 3,2020,194000,91,0
East Midlands,LE19 4,2020,197000,101,0
East Midlands,LE2 0,2020,123000,56,0
East Midlands,LE2 1,2020,151000,150,0
East Midlands,LE2 2,2020,226000,102,0
East Midlands,LE2 3,2020,210000,190,0
East Midlands,LE2 4,2020,219000,195,0
East Midlands,LE2 5,2020,211000,104,0
East Midlands,LE2 6,2020,134000,146,0
East Midlands,LE2 7,2020,127000,89,0
East Midlands,LE2 8,2020,148000,192,0
East Midlands,LE2 9,2020,137000,155,0
East Midlands,LE3 0,2020,121000,186,0
East Midlands,LE3 1,2020,115000,107,0
East Midlands,LE3 2,2020,145000,203,0
East Midlands,LE3 3,2020,160000,263,0
East Midlands,LE3 5,2020,108000,108,0
East Midlands,LE3 6,2020,120000,160,0
East Midlands,LE3 8,2020,205000,183,0
East Midlands,LE3 9,2020,123000,166,0
East Midlands,LE4 0,2020,124000,117,0
East Midlands,LE4 1,2020,97000,60,0
East Midlands,LE4 2,2020,117000,121,0
East Midlands,LE4 3,2020,214000,116,0
East Midlands,LE4 4,2020,154000,95,0
East Midlands,LE4 5,2020,131000,75,0
East Midlands,LE4 6,2020,127000,107,0
East Midlands,LE4 7,2020,133000,111,0
East Midlands,LE4 8,2020,158000,107,0
East Midlands,LE4 9,2020,119000,125,0
East Midlands,LE5 0,2020,138000,90,0
East Midlands,LE5 1,2020,155000,238,0
East Midlands,LE5 2,2020,150000,115,0
East Midlands,LE5 3,2020,87000,60,0
East Midlands,LE5 4,2020,135000,94,0
East Midlands,LE5 5,2020,151000,127,0
East Midlands,LE5 6,2020,195000,99,0
East Midlands,LE6 0,2020,176000,187,0
East Midlands,LE65 1,2020,229000,118,0
East Midlands,LE65 2,2020,218000,146,0
East Midlands,LE67 1,2020,163000,107,0
East Midlands,LE67 2,2020,203000,197,0
East Midlands,LE67 3,2020,123000,184,0
East Midlands,LE67 4,2020,171000,181,0
East Midlands,LE67 5,2020,144000,129,0
East Midlands,LE67 6,2020,166000,150,0
East Midlands,LE67 8,2020,245000,78,0
East Midlands,LE67 9,2020,173000,122,0
East Midlands,LE7 1,2020,130000,98,0
East Midlands,LE7 2,2020,191000,117,0
East Midlands,LE7 3,2020,251000,89,0
East Midlands,LE7 4,2020,282000,44,0
East Midlands,LE7 7,2020,237000,276,0
East Midlands,LE7 9,2020,311000,158,0
East Midlands,LE8 0,2020,251000,159,0
East Midlands,LE8 4,2020,178000,93,0
East Midlands,LE8 5,2020,205000,118,0
East Midlands,LE8 6,2020,183000,128,0
East Midlands,LE8 8,2020,194000,93,0
East Midlands,LE8 9,2020,315000,71,0
East Midlands,LE9 1,2020,168000,48,0
East Midlands,LE9 2,2020,258000,92,0
East Midlands,LE9 3,2020,165000,41,0
East Midlands,LE9 4,2020,212000,118,0
East Midlands,LE9 5,2020,58000,1,0
East Midlands,LE9 6,2020,177000,168,0
East Midlands,LE9 7,2020,157000,196,0
East Midlands,LE9 8,2020,131000,156,0
East Midlands,LE9 9,2020,216000,107,0
East Midlands,LN1 1,2020,158000,177,0
East Midlands,LN1 2,2020,201000,211,0
East Midlands,LN1 3,2020,143000,181,0
East Midlands,LN1 4,2020,265000,13,0
East Midlands,LN10 5,2020,151000,6,0
East Midlands,LN10 6,2020,223000,107,0
East Midlands,LN11 0,2020,158000,185,0
East Midlands,LN11 7,2020,164000,87,0
East Midlands,LN11 8,2020,162000,133,0
East Midlands,LN11 9,2020,152000,94,0
East Midlands,LN12 1,2020,107000,111,0
East Midlands,LN12 2,2020,129000,205,0
East Midlands,LN13 0,2020,191000,43,0
East Midlands,LN13 9,2020,151000,85,0
East Midlands,LN2 1,2020,218000,31,0
East Midlands,LN2 2,2020,203000,162,0
East Midlands,LN2 3,2020,187000,127,0
East Midlands,LN2 4,2020,154000,266,0
East Midlands,LN2 5,2020,96000,131,0
East Midlands,LN3 4,2020,186000,105,0
East Midlands,LN3 5,2020,186000,53,0
East Midlands,LN4 1,2020,162000,162,0
East Midlands,LN4 2,2020,167000,189,0
East Midlands,LN4 3,2020,172000,117,0
East Midlands,LN4 4,2020,134000,166,0
East Midlands,LN5 0,2020,231000,115,0
East Midlands,LN5 7,2020,103000,143,0
East Midlands,LN5 8,2020,102000,194,0
East Midlands,LN5 9,2020,163000,190,0
East Midlands,LN6 0,2020,122000,219,0
East Midlands,LN6 3,2020,119000,119,0
East Midlands,LN6 4,2020,135000,5,0
East Midlands,LN6 5,2020,148000,61,0
East Midlands,LN6 6,2020,231000,1,0
East Midlands,LN6 7,2020,135000,154,0
East Midlands,LN6 8,2020,174000,188,0
East Midlands,LN6 9,2020,184000,323,0
East Midlands,LN7 6,2020,151000,75,0
East Midlands,LN8 2,2020,205000,31,0
East Midlands,LN8 3,2020,171000,181,0
East Midlands,LN8 5,2020,179000,56,0
East Midlands,LN8 6,2020,180000,43,0
East Midlands,LN9 5,2020,178000,90,0
East Midlands,LN9 6,2020,146000,84,0
East Midlands,NG1 1,2020,140000,89,0
East Midlands,NG1 2,2020,245000,3,0
East Midlands,NG1 3,2020,140000,28,0
East Midlands,NG1 4,2020,237000,17,0
East Midlands,NG1 5,2020,246000,42,0
East Midlands,NG1 6,2020,155000,15,0
East Midlands,NG1 7,2020,121000,13,0
East Midlands,NG10 1,2020,119000,156,0
East Midlands,NG10 2,2020,131000,84,0
East Midlands,NG10 3,2020,150000,232,0
East Midlands,NG10 4,2020,144000,161,0
East Midlands,NG10 5,2020,135000,130,0
East Midlands,NG11 0,2020,238000,22,0
East Midlands,NG11 6,2020,256000,165,0
East Midlands,NG11 7,2020,176000,84,0
East Midlands,NG11 8,2020,130000,133,0
East Midlands,NG11 9,2020,102000,101,0
East Midlands,NG12 1,2020,253000,45,0
East Midlands,NG12 2,2020,206000,120,0
East Midlands,NG12 3,2020,190000,154,0
East Midlands,NG12 4,2020,366000,105,0
East Midlands,NG12 5,2020,282000,138,0
East Midlands,NG13 0,2020,236000,85,0
East Midlands,NG13 7,2020,336000,17,0
East Midlands,NG13 8,2020,194000,254,0
East Midlands,NG13 9,2020,293000,61,0
East Midlands,NG14 5,2020,256000,81,0
East Midlands,NG14 6,2020,209000,157,0
East Midlands,NG14 7,2020,311000,61,0
East Midlands,NG15 0,2020,128000,41,0
East Midlands,NG15 6,2020,148000,228,0
East Midlands,NG15 7,2020,122000,221,0
East Midlands,NG15 8,2020,214000,117,0
East Midlands,NG15 9,2020,275000,111,0
East Midlands,NG16 1,2020,198000,146,0
East Midlands,NG16 2,2020,141000,257,0
East Midlands,NG16 3,2020,119000,161,0
East Midlands,NG16 4,2020,117000,83,0
East Midlands,NG16 5,2020,141000,140,0
East Midlands,NG16 6,2020,129000,183,0
East Midlands,NG17 1,2020,131000,113,0
East Midlands,NG17 2,2020,102000,201,0
East Midlands,NG17 3,2020,119000,137,0
East Midlands,NG17 4,2020,88000,165,0
East Midlands,NG17 5,2020,108000,66,0
East Midlands,NG17 7,2020,105000,114,0
East Midlands,NG17 8,2020,119000,202,0
East Midlands,NG17 9,2020,124000,102,0
East Midlands,NG18 1,2020,99000,19,0
East Midlands,NG18 2,2020,86000,155,0
East Midlands,NG18 3,2020,128000,141,0
East Midlands,NG18 4,2020,163000,245,0
East Midlands,NG18 5,2020,107000,137,0
East Midlands,NG18 6,2020,257000,18,0
East Midlands,NG19 0,2020,124000,210,0
East Midlands,NG19 6,2020,115000,174,0
East Midlands,NG19 7,2020,116000,145,0
East Midlands,NG19 8,2020,111000,150,0
East Midlands,NG19 9,2020,125000,143,0
East Midlands,NG2 1,2020,90000,19,0
East Midlands,NG2 2,2020,98000,81,0
East Midlands,NG2 3,2020,136000,52,0
East Midlands,NG2 4,2020,104000,143,0
East Midlands,NG2 5,2020,238000,156,0
East Midlands,NG2 6,2020,217000,236,0
East Midlands,NG2 7,2020,236000,283,0
East Midlands,NG20 0,2020,111000,139,0
East Midlands,NG20 8,2020,95000,115,0
East Midlands,NG20 9,2020,95000,83,0
East Midlands,NG21 0,2020,116000,207,0
East Midlands,NG21 9,2020,164000,177,0
East Midlands,NG22 0,2020,202000,95,0
East Midlands,NG22 8,2020,217000,114,0
East Midlands,NG22 9,2020,132000,177,0
East Midlands,NG23 5,2020,245000,108,0
East Midlands,NG23 6,2020,238000,75,0
East Midlands,NG23 7,2020,241000,75,0
East Midlands,NG24 1,2020,120000,180,0
East Midlands,NG24 2,2020,149000,178,0
East Midlands,NG24 3,2020,149000,304,0
East Midlands,NG24 4,2020,136000,213,0
East Midlands,NG24 5,2020,316000,14,0
East Midlands,NG25 0,2020,274000,130,0
East Midlands,NG3 1,2020,95000,22,0
East Midlands,NG3 2,2020,118000,67,0
East Midlands,NG3 3,2020,81000,97,0
East Midlands,NG3 4,2020,123000,29,0
East Midlands,NG3 5,2020,193000,217,0
East Midlands,NG3 6,2020,158000,167,0
East Midlands,NG3 7,2020,126000,85,0
East Midlands,NG31 6,2020,77000,86,0
East Midlands,NG31 7,2020,118000,230,0
East Midlands,NG31 8,2020,174000,318,0
East Midlands,NG31 9,2020,134000,226,0
East Midlands,NG32 1,2020,242000,49,0
East Midlands,NG32 2,2020,285000,42,0
East Midlands,NG32 3,2020,209000,63,0
East Midlands,NG33 4,2020,248000,73,0
East Midlands,NG33 5,2020,175000,85,0
East Midlands,NG34 0,2020,201000,103,0
East Midlands,NG34 6,2020,220000,6,0
East Midlands,NG34 7,2020,129000,274,0
East Midlands,NG34 8,2020,160000,181,0
East Midlands,NG34 9,2020,168000,227,0
East Midlands,NG4 1,2020,133000,194,0
East Midlands,NG4 2,2020,119000,192,0
East Midlands,NG4 3,2020,133000,160,0
East Midlands,NG4 4,2020,163000,149,0
East Midlands,NG5 1,2020,117000,159,0
East Midlands,NG5 2,2020,142000,136,0
East Midlands,NG5 3,2020,134000,74,0
East Midlands,NG5 4,2020,188000,134,0
East Midlands,NG5 5,2020,113000,201,0
East Midlands,NG5 6,2020,126000,175,0
East Midlands,NG5 7,2020,113000,129,0
East Midlands,NG5 8,2020,151000,178,0
East Midlands,NG5 9,2020,103000,125,0
East Midlands,NG6 0,2020,96000,144,0
East Midlands,NG6 7,2020,97000,52,0
East Midlands,NG6 8,2020,100000,192,0
East Midlands,NG6 9,2020,96000,118,0
East Midlands,NG7 1,2020,209000,174,0
East Midlands,NG7 2,2020,134000,94,0
East Midlands,NG7 3,2020,91000,53,0
East Midlands,NG7 4,2020,127000,49,0
East Midlands,NG7 5,2020,90000,107,0
East Midlands,NG7 6,2020,100000,108,0
East Midlands,NG7 7,2020,92000,71,0
East Midlands,NG8 1,2020,200000,108,0
East Midlands,NG8 2,2020,200000,139,0
East Midlands,NG8 3,2020,144000,101,0
East Midlands,NG8 4,2020,100000,96,0
East Midlands,NG8 5,2020,91000,140,0
East Midlands,NG8 6,2020,107000,114,0
East Midlands,NG9 1,2020,160000,193,0
East Midlands,NG9 2,2020,153000,190,0
East Midlands,NG9 3,2020,212000,175,0
East Midlands,NG9 4,2020,197000,70,0
East Midlands,NG9 5,2020,179000,105,0
East Midlands,NG9 6,2020,201000,144,0
East Midlands,NG9 7,2020,128000,104,0
East Midlands,NG9 8,2020,128000,140,0
East Midlands,S1 1,2020,110000,3,0
East Midlands,S1 2,2020,135000,48,0
East Midlands,S1 4,2020,120000,95,0
East Midlands,S10 1,2020,156000,235,0
East Midlands,S10 2,2020,230000,45,0
East Midlands,S10 3,2020,315000,146,0
East Midlands,S10 4,2020,269000,86,0
East Midlands,S10 5,2020,231000,123,0
East Midlands,S11 7,2020,229000,161,0
East Midlands,S11 8,2020,163000,168,0
East Midlands,S11 9,2020,316000,179,0
East Midlands,S12 2,2020,123000,159,0
East Midlands,S12 3,2020,147000,102,0
East Midlands,S12 4,2020,116000,160,0
East Midlands,S13 7,2020,110000,101,0
East Midlands,S13 8,2020,115000,134,0
East Midlands,S13 9,2020,134000,112,0
East Midlands,S14 1,2020,78000,66,0
East Midlands,S17 3,2020,348000,134,0
East Midlands,S17 4,2020,233000,138,0
East Midlands,S18 1,2020,185000,103,0
East Midlands,S18 2,2020,175000,66,0
East Midlands,S18 3,2020,188000,26,0
East Midlands,S18 4,2020,195000,14,0
East Midlands,S18 7,2020,347000,17,0
East Midlands,S18 8,2020,215000,105,0
East Midlands,S2 1,2020,109000,93,0
East Midlands,S2 2,2020,130000,75,0
East Midlands,S2 3,2020,123000,108,0
East Midlands,S2 4,2020,106000,73,0
East Midlands,S2 5,2020,92000,65,0
East Midlands,S20 1,2020,105000,79,0
East Midlands,S20 2,2020,132000,64,0
East Midlands,S20 3,2020,306000,3,0
East Midlands,S20 4,2020,128000,83,0
East Midlands,S20 5,2020,149000,81,0
East Midlands,S20 6,2020,136000,51,0
East Midlands,S20 7,2020,115000,54,0
East Midlands,S20 8,2020,101000,54,0
East Midlands,S21 1,2020,118000,98,0
East Midlands,S21 2,2020,142000,16,0
East Midlands,S21 3,2020,132000,44,0
East Midlands,S21 4,2020,125000,97,0
East Midlands,S21 5,2020,358000,11,0
