year,region,property_type,avg_price,volume
2024,South East,F,169000,26317
2024,South East,S,253000,32061
2024,South East,T,209000,33817
2024,South West,D,328000,28061
2024,South West,F,162000,16115
2024,South West,S,204000,22181
2024,South West,T,176000,27514
2024,Wales,D,231000,12168
2024,Wales,F,125000,3230
2024,Wales,S,140000,11963
2024,Wales,T,108000,14424
2024,West Midlands,D,280000,21085
2024,West Midlands,F,122000,8927
2024,West Midlands,S,156000,28023
2024,West Midlands,T,128000,24761
2025,East England,D,222000,2930
2025,East England,F,106000,449
2025,East England,S,143000,1839
2025,East England,T,127000,1531
2025,East Midlands,D,222000,10592
2025,East Midlands,F,112000,2067
2025,East Midlands,S,126000,11869
2025,East Midlands,T,100000,9387
2025,East of England,D,345000,10085
2025,East of England,F,151000,5422
2025,East of England,S,221000,9802
2025,East of England,T,182000,9451
2025,Greater London,D,676000,4050
2025,Greater London,F,327000,26639
2025,Greater London,S,383000,9470
2025,Greater London,T,375000,16051
2025,North East,D,242000,7229
2025,North East,F,111000,3617
2025,North East,S,136000,10801
2025,North East,T,103000,11492
2025,North West,D,256000,10183
2025,North West,F,126000,5714
2025,North West,S,141000,17441
2025,North West,T,98000,19429
2025,South East,D,402000,14969
2025,South East,F,162000,11440
2025,South East,S,239000,14166
2025,South East,T,199000,15132
2025,South West,D,316000,12426
2025,South West,F,153000,6807
2025,South West,S,198000,9728
2025,South West,T,168000,12177
2025,Wales,D,223000,5410
2025,Wales,F,134000,1469
2025,Wales,S,132000,5192
2025,Wales,T,105000,6262
2025,West Midlands,D,265000,9375
2025,West Midlands,F,120000,3940
2025,West Midlands,S,149000,12143
2025,West Midlands,T,121000,10904
